artist_name,album_name,year,avg_dr,min_dr,max_dr,codec,source
Pat Metheny Group,"First Circle (USA, ECM 1278, RAW)",1984,20,19,21,lossless,Vinyl
Heddy Boubaker + Sebastian Bouhana,Heddy Boubaker + Sebastian Bouhana,2006,20,20,20,lossy,Unknown
R. Andrew Lee,Dennis Johnson: November,2013,20,20,20,lossy,Download
Wayne Shorter,"Phantom Navigator (USA, C 40373, RAW)",1987,20,20,20,lossless,Vinyl
Eberhard Weber Colours,"Silent Feet (USA, ECM 1107, RAW)",1978,20,20,21,lossless,Vinyl
Chuck Mangione,"Bellavia (USA, RE, SP-3172, RAW)",1981,20,20,21,lossless,Vinyl
James Newton Howard,James Newton Howard and Friends,1985,20,20,21,lossless,CD
He Xun-Tian,Images In Sound [XRCD 2],2007,19,09,26,lossless,Unknown
Sheffield Lab,Direct from the Masters,1983,19,10,21,lossless,Unknown
"James Newton Howard, Toto",James Newton Howard & Friends,1984,19,10,21,lossless,CD
David Tudor,Music For Piano,2007,19,11,27,lossless,CD
Steve Earle,Copperhead Road,1988,19,12,21,lossy,Unknown
New Orleans Heartbreakers,Meet Us Where We Play The Blues,1993,19,13,21,lossless,Unknown
Six Heads,Six Heads Or The Appearance Of Hairs Band,2010,19,13,22,lossy,Unknown
John Stevens / Evan Parker,Corner To Corner + The Longest Night,2007,19,13,22,lossless,CD
Christian Wolff,Kompositionen 1950 - 1972,2011,19,13,27,lossless,CD
Diana Ross,Diana (Declipped...Again),2020,19,14,21,lossless,Download
Flim & The BB's,Big Notes,1985,19,14,22,lossless,CD
Bernard Maseli,Tylko Chopin,1994,19,14,23,lossy,Unknown
Diana Ross,The Boss (Declipped),2020,19,14,24,lossless,Download
Leszek Kulakowski Sextet,Black & Blue,1994,19,15,20,lossy,Unknown
Charly Antolini,Crash,1981,19,15,20,lossless,Vinyl
"Seattle Symphony and Chorale, Gerard Schwarz (Dir.)","Ravel: Daphnis et Chloé, Diamond: Elegy In Memory Of Maurice Ravel",1991,19,15,21,lossless,CD
"John Butcher , Phil Durrant , Paul Lovens , Radu Malfatti , John Russell",News From The Shed,2005,19,15,22,lossy,Unknown
Michel Redolfi,Sonic Waters #2 (Underwater Music) 1983-1989,1990,19,15,23,lossless,Unknown
John Cage,Complete Music for Piano Vol 4,2004,19,15,28,lossless,CD
Eddy Grant,Killer On The Rampage [Deluxe Edition] [Disc 2],2008,19,16,20,lossless,Unknown
Igor Stravinsky,"The Song Of The Nightingale, The Firebird, Rite of Spring",1996,19,16,21,lossless,Download
Stan Rogers,Poetic Justice,2011,19,16,21,lossless,Download
