artist_name,album_name,year,avg_dr,min_dr,max_dr,codec,source
"Ensemble InterContemporain, Pierre Boulez",Berio ‎– Corale / Chemins II & IV / Ritorno Degli Snovidenia / Points On The Curve To Find,2009,17,15,21,lossless,CD
Giya Kancheli,Caris Mere,1997,17,15,21,lossless,CD
Luc Ferrari,Presque Rien,2014,17,15,21,lossless,Download
George Benson,Weekend In L.A. [vinyl],1978,17,15,21,lossless,Vinyl
Maestro Fresh-Wes,Symphony in Effect,1989,17,15,22,lossless,CD
Atria,Boulevard Of Broken Dreams,1992,17,15,22,lossless,Unknown
The Bucky Pizzarelli Trio,Three for All [HDtracks],2014,17,15,22,lossless,Download
Ani DiFranco,Not So Soft,1991,17,15,22,lossless,CD
Fred Astaire,The Astaire Story (disc 1/2),1988,17,15,22,lossless,Unknown
Robert Hohner Percussion Ensemble,Far More Drums,2000,17,15,23,lossless,Unknown
Peter Ilyich Tchaikovsky,1812 Overture; Capriccio Italian; etc. [TELARC],1979,17,16,17,lossless,CD
Jerzy Maksymiuk - BBC Scottish Symphony Orchestra,James Macmillan: The Confession of Isobel Gowdie; Tryst,1992,17,16,17,lossless,CD
Erich Kunzel: Cincinnati Symphony Orchestra,"1812, Capriccio Italien, ""Cossack Dance"" from Mazeppa",1984,17,16,17,lossless,CD
Mike Oldfield & The Royal Philharmonic Orchestra,The Orchestral Tubular Bells,1986,17,16,17,lossless,CD
Avenged Sevenfold,Nightmare,2020,17,16,17,lossy,Downmix
Wayne Shorter,Etcetera,2019,17,16,17,lossless,Vinyl
Skaldowie,Stworzenia świata część druga,2000,17,16,17,lossless,Unknown
William Shatner,Exodus [Itkin],2007,17,16,17,lossless,CD
Stuart McLean,Vinyl Cafe Stories (Disc 2),1998,17,16,17,lossless,CD
"Cincinnati Symphony Orchestra, Erich Kunzel",Tchaikovsky/ 1812 Ouverture Solennelle,1979,17,16,17,lossless,Unknown
Nusrat Fateh Ali Khan,En Concert A Paris Vol. 1,1996,17,16,17,lossless,Unknown
Herbie Hancock,Directstep,2014,17,16,17,lossless,CD
Art Blakey and The Jazz Messengers,Night in Tunisia,1983,17,16,17,lossless,CD
Dizzy Gillespie,To Bird With Love,1992,17,16,19,lossless,CD
Joe Henderson,"State of the Tenor: Live at the Village Vanguard, Volume 1",1985,17,16,19,lossless,Unknown
Randy Brecker,Live At Sweet Basil,1989,17,16,19,lossless,CD
James MacMillan,Visitatio Sepulchri - Búsqueda,1994,17,16,19,lossless,CD
"Stuttgarter Kammerorchester, Dennis Russell Davies (Dir.)",Giya Kancheli: Diplipito,2004,17,16,19,lossless,CD
Lee Ritenour,Rio,1985,17,16,19,lossless,CD
"Joe Sample, Ray Brown, Shelly Manne",The Three (Direct-To-Disc Original),1975,17,16,19,lossless,Vinyl
Jakob Ullmann,Müntzers stern; Solo II,2018,17,16,19,lossless,Download
"London Symphony Orchestra, Thomas Adès",Thomas Adès ‎– Asyla | Tevot | Polaris,2017,17,16,19,lossless,Download
The Square,Midnight Lover,1978,17,16,19,lossy,Unknown
Aaly Trio + Ken Vandermark,Stumble,1998,17,16,19,lossless,Unknown
Casiopea,MAKE UP CITY,1992,17,16,19,lossless,CD
Scientist,In The Kingdom Of Dub,1981,17,16,19,lossless,Vinyl
Rahul Sharma,Music of the Himalayas,2002,17,16,19,lossless,Unknown
Herbie Hancock,Quartet,1982,17,16,20,lossless,Vinyl
Billy Cobham's Glassmenagerie,Stratus,1990,17,16,20,lossless,CD
"Berliner Philharmoniker, Simon Rattle",Mahler Symphony no.10,2000,17,16,20,lossless,CD
Viogression,Passage [CORPSE CD006],1992,17,16,20,lossless,CD
A.R. Rahman,Taal,1999,17,16,21,lossy,CD
Knyaz Mishkin,Daruy,2007,17,17,17,lossy,Download
Ensemble Musique Vivante - Luciano Berio,Luciano Berio: Laborintus 2,1987,17,17,17,lossless,CD
Pixeltruppen,Pixeltruppen,2017,17,17,17,lossy,Download
Charly Antolini,Knock Out (Direct-To-Disc) 100.3304,1979,17,17,17,lossless,Vinyl
Knyaz Mishkin,Pasiarod,2010,17,17,17,lossy,Unknown
Kevin Drumm,09082001 gtr/synth 'solo',2015,17,17,17,lossless,Download
Charly Antolini,Knock Out,1982,17,17,17,lossless,Unknown
Black Uhuru,Dub Factor (vinyl),1983,17,17,18,lossless,Unknown
Anne Sofie von Otter with Wiener Philharmoniker/Pierre Boulez,Mahler: Symphony No. 3 (Disc 1) (HDtracks 88/24),2010,17,17,18,lossless,Download
Netherlands Radio Philharmonic Orchestra / Netherlands Radio Choir / Jaap van Zweden,Mahler: Das klagende Lied,2007,17,17,18,lossless,CD
Freddie Hubbard & Woody Shaw,The Eternal Triangle,1988,17,17,18,lossless,CD
Ravi Shankar,Raga Jogeshwari,1980,17,17,19,lossless,Vinyl
Bryan Lewis Saunders,87 Dreams Of A Sociopath,2010,16,04,22,lossless,Unknown
Redwood Symphony with Oakland Symphony Chorus/Eric Kujawsky,Stravinsky: The Rite of Spring & Les Noces,1993,16,06,19,lossless,CD
Toshiya Tsunoda & Taku Unami,Wovenland 2,2020,16,07,30,lossy,Download
Billie Holiday,Lady in Satin,1958,16,08,19,lossless,CD
"Birmingham Contemporary Music Group, Knussen",Poul Ruders - Four Dances,2009,16,08,20,lossless,CD
John Fahey,Old Girlfriends And Other Horrible Memories,1992,16,08,22,lossless,CD
Patto,Sense Of The Absurd ( Comp 1st + 2nd + Bonus ),1995,16,09,18,lossless,CD
"L'Orchestre Symphonique De Montreal,  Kent Nagano",Leonard Bernstein ‎– A Quiet Place,2018,16,09,18,lossless,CD
Kool & The Gang,Everybody's Dancin' [vinyl],1978,16,09,18,lossless,Vinyl
David Torn,Best Laid Plans,1985,16,09,19,lossless,CD
Jeff Bridges,Sleeping Tapes,2015,16,09,19,lossy,Download
Edgar Varese,The Complete Works (disk 2),1998,16,09,20,lossless,CD
Various Artists (Chesky),The Ultimate Demonstration Disc,1995,16,09,20,lossless,CD
Various Artists (Chesky),The Ultimate Demonstration Disc,1995,16,09,20,lossless,CD
Various Artists,Chesky Records - The Ultimate Demonstration Disc,1995,16,09,20,lossless,CD
Various Artists,Chesky Records The Ultimate Demonstration Disk,1995,16,09,20,lossless,CD
Al Jarreau,Heart's Horizon,1988,16,10,18,lossless,CD
Al Jarreau,Heart's Horizon,1988,16,10,18,lossless,Unknown
Brand X,X Communication,1992,16,10,18,lossless,Unknown
Inner Strength,Shallow Reflections,1993,16,10,18,lossless,CD
Al Jarreau,Heart's Horizon,1988,16,10,18,lossless,Unknown
The Legendary Pink Dots,Malachai (Shadow Weaver Part 2),2002,16,10,19,lossless,CD
Idris Muhammad,Make It Count [vinyl],1980,16,10,19,lossless,Unknown
Fats Waller,"If You Got To Ask, You Ain't Got It!",2006,16,10,20,lossless,CD
Igor Ballereau,SHSK'H Vol. 1 - Igor Ballereau,2006,16,10,20,lossy,Unknown
Teodosii Spassov,Welkya,1994,16,10,21,lossless,CD
Various Artists,Soundscape Amsterdam,1995,16,10,21,lossless,Unknown
John Cage,Complete Music for Piano Vol 8,2004,16,10,31,lossless,CD
Various Artists,Audiogon Presents the Wake Up Your Ears Sampler [HDtracks],2013,16,10,32,lossless,Download
Various,Audiogon Presents The Wake Up Your Ears Sampler,2013,16,10,32,lossless,Download
Yellow Magic Orchestra,After Service (32XA-145),1987,16,11,17,lossless,CD
Yellow Magic Orchestra,After Service,1987,16,11,17,lossless,CD
Yellow Magic Orchestra,After Service (38XA-14),1984,16,11,17,lossless,CD
Philly Joe Jones Dameronia,"Look, Stop And Listen [vinyl]",1983,16,11,17,lossless,Unknown
Kraftwerk,Trans Europa Express,1986,16,11,18,lossless,CD
Duran Duran,Notorious,1986,16,11,18,lossless,Unknown
Duran Duran,Notorious  -  japan,2014,16,11,18,lossless,CD
Charly Antolini,Menue / Finale,1987,16,11,18,lossless,Unknown
Bruford / Borstlap,In Two Minds,2007,16,12,17,lossless,CD
Various Artists,The Sheffield Jazz Experience,1995,16,12,17,lossless,Unknown
Keith Jarrett,At The Blue Note II,1995,16,12,17,lossless,CD
Stevie Wonder,Hotter Than July,1992,16,12,17,lossless,CD
Stevie Wonder,Hotter Than July,1993,16,12,17,lossless,Unknown
Jimmy Cobb Quartet,Jazz in the Key of Blue [HDtracks],2009,16,12,18,lossless,Unknown
Yumi Matsutoya,Yuming Visualive Da・Di・Da,1986,16,12,18,lossless,CD
"Earth, Wind & Fire",All 'N All [Japan SACD],1999,16,12,18,lossless,Unknown
Różni wykonawcy,I Ching,1993,16,12,18,lossless,CD
Steve Earle,Copperhead Road,1988,16,12,18,lossless,CD
Tomi Jenkins,Tomi,1989,16,12,18,lossy,CD
John Tropea,NY Cats Direct,1986,16,12,18,lossless,Unknown
Muddy Waters,Folk Singer [DSD] (Acoustic Sounds download),2014,16,12,18,lossless,Download
Muddy Waters,Folk Singer [96/24 HDtracks],2013,16,12,18,lossless,Unknown
Muddy waters,Folk Singer HDtracks 24-192,2013,16,12,18,lossless,Download
Jimmy Cobb Quartet,Jazz in the Key of Blue [HDtracks],2010,16,12,18,lossless,Download
"Michael Tilson Thomas, New World Symphony",New World Jazz,1998,16,12,18,lossless,CD
Glass - Schnittke,"Violin Concerto, Schnittke - Concerto Grosse No. 5; Wiener Philh",1993,16,12,18,lossless,CD
The O-zone Percussion Group,La Bamba,1996,16,12,18,lossless,Unknown
Tom Scott,Desire,1982,16,12,18,lossless,Unknown
City Of Birmingham Symphony Orchestra/Rattle,"Debussy: Images, Jeux, etc.",1990,16,12,18,lossless,Unknown
Tom Scott,Desire,1982,16,12,18,lossless,CD
Steve Earle,Copperhead Road,1988,16,12,18,lossless,CD
Jimmy Cobb Quartet,Jazz in the Key of Blue [SACD - PCM layer],2009,16,12,18,lossless,CD
Wailing Souls,The Very Best Of,1990,16,12,18,lossless,CD
Steve Earle,Copperhead Road,1988,16,12,18,lossy,Unknown
Eddie Graham Trio,S' Wonderful Jazz [DSD] (Acoustic Sounds download),2015,16,12,18,lossless,Download
"Earth, Wind & Fire",All 'N All (Original Album Classics),2008,16,12,18,lossless,CD
James Horner,The Land Before Time,1988,16,12,19,lossless,Unknown
Grace,Gathering In The Wheat CD 1,1998,16,12,19,lossless,Unknown
Bill Evans,At The Montreux Jazz Festival,1998,16,12,19,lossless,CD
Elton John,A Arte de Elton John,1988,16,12,19,lossless,CD
Chet Baker & Paul Bley,Diane,2017,16,12,19,lossless,CD
Sadao Watanabe,Maisha,1985,16,12,19,lossless,CD
Peppino D'Agostino,Acoustic Guitar,2001,16,12,19,lossless,Download
Muddy Waters,Folk Singer,2011,16,12,19,lossless,Vinyl
Pierre Favre Ensemble,Singing Drums,1984,16,12,19,lossless,CD
Muddy Waters,Folk Singer [Analogue Productions] (24/96 vinyl rip),2011,16,12,19,lossless,Unknown
Nurse With Wound,Merzbild Schwet,1990,16,12,19,lossless,CD
"Los Angeles Philharmonic, Esa-Pekka Salonen",Lutosławski ‎– The Symphonies,2013,16,12,19,lossless,CD
João Gilberto,João Gilberto 1973,1973,16,12,19,lossless,CD
Porcupine Tree,BBC Graveyard Shift sessions,1993,16,12,19,lossless,Unknown
The Ritz,The Ritz,1987,16,12,19,lossless,Unknown
Jimmy Cobb Quartet,Jazz in the Key of Blue (24-96),2009,16,12,19,lossless,Unknown
Ahmad Jamal,Ahmad's Blues,1958,16,12,19,lossless,CD
Amanda McBroom & Lincoln Mayorga,Growing Up in Hollywood Town,2004,16,12,19,lossless,CD
Ahmad Jamal Trio,Ahmad's Blues,1994,16,12,19,lossy,CD
"Earth, Wind & Fire",All'N All,1986,16,12,19,lossless,CD
Mickey Hart,Planet Drum (Au20 Limited Edition),1991,16,12,19,lossless,Unknown
"Earth, Wind & Fire",All 'N All,1977,16,12,19,lossless,CD
Henry Jacobs,Radio Programme No.1: Henry Jacobs' Music and Folklore,2007,16,12,19,lossless,CD
Dick Raaijmakers,The complete tape music of Dick Raaijmakers (Disc 1),1998,16,12,20,lossless,Unknown
Aurora,Aurora,2005,16,12,20,lossless,Unknown
Electric Phoenix,Trevor Wishart: Vox,1990,16,12,20,lossless,CD
Johannette Zomer - Antequera,Cantigas de Santa Maria,2003,16,12,20,lossless,CD
Canadian Brass,The Village Band,1981,16,12,20,lossless,CD
Anne-Sophie Mutter,Modern - Disk-01,1994,16,12,20,lossless,CD
Pactum,F.A.L.,1994,16,12,20,lossy,Unknown
Masada (John Zorn),1994 : Live In Jerusalem,1999,16,12,20,lossless,Unknown
Vanilla Ice,Hooked,1989,16,12,20,lossless,CD
David Lewiston,Tibetan Buddhism / Tantras Of Gyütö: Sangwa Düpa ▪ Mahakala,1988,16,12,20,lossless,CD
Philip Miller,The Refusal Of Time,2012,16,12,20,lossless,CD
Michael Hedges,Aerial Boundaries,1990,16,12,20,lossless,Unknown
John Cage,Complete Music for Piano Vol 9,2004,16,12,21,lossless,CD
Mark Nauseef,Wiht Space In Mind,1994,16,12,21,lossless,Unknown
Nathan Fiorentino & Jayson Norman,Goose Neck,2018,16,12,21,lossless,Download
György Ligeti,The Ligeti Project (Disk 2),2008,16,12,21,lossless,CD
Shoji Meguro,Persona 3 Original Soundtrack OST CD 2,2006,16,12,21,lossy,CD
Dallas Symphony Orchestra - Eduardo Mata,An American Panorama,1992,16,12,21,lossless,CD
The Bar-Kays,Soul Finger [vinyl],2012,16,13,17,lossless,Vinyl
Andrés Segovia,The Segovia Collection Volume 3 My Favorite Works,1988,16,13,17,lossless,CD
Airto Moreira,Three-Way Mirror,1987,16,13,17,lossless,CD
The Replacements,Pleased To Meet Me,1987,16,13,17,lossless,Unknown
Steve Winwood,Back In The High Life,1986,16,13,17,lossless,Unknown
Seaside Lovers,Memories in Beach House,1983,16,13,17,lossless,CD
Danny Elfman,So-Lo,1984,16,13,17,lossy,Unknown
佐々木昭雄 (Akio Sasaki),Berklee Connection,2008,16,13,17,lossless,CD
The Gadd Gang,Here & Now,1988,16,13,17,lossless,CD
Men At Work,Two Hearts,1985,16,13,17,lossless,CD
Sly And Robbie,Present Taxi,1990,16,13,18,lossless,CD
Edward Elgar,"Symphony 2; Serenade (Edward Gardner, BBC Symphony Orchestra; 24bit/96KHz)",2018,16,13,18,lossless,Download
McCoy Tyner,Nights Of Ballads & Blues [SACD],2011,16,13,18,lossless,Unknown
Billie Holiday,Lady in Satin,1997,16,13,18,lossy,CD
The B-52's,Cosmic Thing,1989,16,13,18,lossy,Unknown
The Last Tribe,The Last Tribe,1990,16,13,18,lossy,CD
Yello,Rubberbandman [single],1991,16,13,18,lossless,Unknown
Various Artists,"Howls, Raps And Roars - Recordings From The San Francisco Poetry Renaissance (Disc 2 of 4)",1993,16,13,18,lossless,CD
Michael Stern,Kansas City Symphony Miraculous Metamorphoses (Acoustic Sounds),2014,16,13,18,lossless,Download
Billie Holiday,Lady in Satin,2010,16,13,18,lossless,CD
Charly Antolini,Knock Out,2011,16,13,18,lossless,Download
David Chesky,the tangos and dances,1992,16,13,18,lossless,CD
Medwyn Goodall,Medicine Woman,1992,16,13,18,lossless,CD
Emerson String Quartet,Debussy / Ravel: String Quartets,2006,16,13,18,lossless,Unknown
The Police,Zenyatta Mondatta (Nautilus Half-Speed Mastered),1981,16,13,18,lossless,Vinyl
Universal Congress Of,The Eleventh-Hour Shine-On,1992,16,13,18,lossless,CD
Montserrat Figueras - Rolf Lislevand,Jose Marin: Tonos Humanos [Figueras & Lislevand],1998,16,13,18,lossless,CD
Kool & The Gang,Forever,1986,16,13,18,lossless,Unknown
Hanna Banaszak,Koncert,1993,16,13,18,lossless,CD
Muddy Waters,Folk Singer (SACD) APO,2011,16,13,18,lossless,CD
YAZOO,UPSTAIRS AT ERIC'S,1990,16,13,18,lossless,CD
Freeway Philharmonic,Sonic Detour,1995,16,13,18,lossless,CD
Krokus,Headhunter,1983,16,13,18,lossy,Unknown
Run-D.M.C.,Run-D.M.C. / The First Album,1988,16,13,18,lossless,CD
The Who,Join Together [Disc 2],1990,16,13,18,lossless,Unknown
Tommy Flanagan,Let's Play The Music Of Thad Jones,1993,16,13,18,lossless,CD
The Who,Join Together [Disc 2],1990,16,13,18,lossless,Unknown
Ravi Shankar,Inside the Cremlin,1989,16,13,18,lossless,CD
Daniel Barenboim / Michael Barenboim / Pierre Boulez - Wiener Philhamoniker,Schoenberg: Violin & Piano Concerti (Arnold Schönberg),2015,16,13,18,lossless,Download
Shirley Horn,Violets for Your Furs,1991,16,13,18,lossless,CD
Berliner Philharmoniker - Claudio Abbado,Gustav Mahler - Symphony No. 5,1993,16,13,18,lossless,CD
本多俊之 (Toshiyuki Honda),Saxophone Music,1986,16,13,18,lossless,CD
Ravi Shankar,Inside The Kremlin,1988,16,13,18,lossless,CD
"Medeski, Martin & Wood",Notes From the Underground,1992,16,13,18,lossless,CD
Omnia,3 (EP),2003,16,13,18,lossless,CD
"Paul Smith with Monty Budwig, Frank Capp, Barney Kessel",The Good Life,1979,16,13,18,lossless,Vinyl
The The,Mind Bomb,1989,16,13,18,lossless,CD
Dire Straits,Alchemy - Live - part one,1984,16,13,18,lossless,CD
Brand New Heavies,"Stay This Way [12"" vinyl]",1992,16,13,18,lossless,Unknown
"St Petersburg Philarmonic Orchestra, Yuri Temirkanov",Mahler ‎– Symphony No. 5,2005,16,13,18,lossless,CD
"Erich Kunzel, Cincinnatti Pops Orchestra",Viennafest,2000,16,13,18,lossless,Unknown
Augustus Pablo,East Of The River Nile,1987,16,13,18,lossless,CD
Warren Bernhardt,Handson,1987,16,13,18,lossless,Unknown
Hildegard von Bingen; Sequentia,Ordo virtutum (disc 1),1990,16,13,18,lossless,Unknown
Phil Thornton and Hossam Ramzy,Eternal Egypt,1996,16,13,18,lossless,Unknown
"Berliner Philharmoniker, Claudio Abbado","Beethoven: Symphonie No. 9 d-moll, Op. 125 [HDtracks 24/96 release]",2010,16,13,18,lossless,Unknown
Thelonious Monk,The Complete Thelonious Monk At The It Club,2009,16,13,18,lossless,Vinyl
Etta James,At Last The Best Of,2010,16,13,18,lossy,CD
Biermösl Blosn,Tschüss Bayernland,1985,16,13,18,lossy,Unknown
Spanish Art Guitar Quartet,Bolero (multichannel SACD layer),2005,16,13,18,lossless,CD
Muddy Waters,Folk Singer (Qobuz 24/192),2015,16,13,18,lossless,Download
Bill Evans,At The Montreux Jazz Festival,2004,16,13,18,lossless,Vinyl
Dire Straits,Alchemy (Dire Straits Live) [disc 1],1984,16,13,18,lossless,CD
Evelyn King,I'm In Love,1999,16,13,18,lossy,CD
Dire Straits,Alchemy - Live (part one),1984,16,13,18,lossless,CD
A.R. Rahman,Gentleman,1993,16,13,18,lossy,CD
Yazoo,Upstairs at Eric's,1990,16,13,18,lossless,CD
Prince,Prince [Digital Remaster] [Pono 192/24],2009,16,13,18,lossless,Download
Thelma Houston & Pressure Cooker,I've Got The Music In Me,1989,16,13,18,lossless,CD
The Police,Zenyatta Mondatta [vinyl],1980,16,13,19,lossless,Vinyl
CC Coletti,Bring It on Home [HDtracks],2013,16,13,19,lossless,Download
John Scofield,Pick Hits Live,1987,16,13,19,lossless,Unknown
Bob Mintzer,Spectrum,1988,16,13,19,lossless,CD
"Saint Louis Symphony Orchestra & Chorus, Leonard Slatkin",Ravel: Bolero; Daphnis & Chloé; Pavane pour un Infante défunte,1980,16,13,19,lossless,CD
"Lorin Maazel, Wiener Philharmoniker",Dvořák; Symphony No. 9 'From the New World'; Carnival Overture,1983,16,13,19,lossless,CD
Krystian Zimerman,Claude Debussy: Preludes (CD1),1994,16,13,19,lossless,Unknown
Arvo Pärt,Alina,1999,16,13,19,lossless,CD
Lyle Lovett,Lyle Lovett and His Large Band,1989,16,13,19,lossless,Unknown
Blazing Redheads,Crazed Women,1991,16,13,19,lossless,Unknown
Masada (John Zorn),1994 : Live In Jerusalem,1999,16,13,19,lossless,Unknown
Anthony Phillips,Private Parts And Pieces V: Twelve,1996,16,13,19,lossless,Unknown
Thomas Adès,"Asyla, etc",1999,16,13,19,lossless,CD
"London Symphony Orchestra, Jascha Horenstein",Mahler ‎– Symphony No. 3,1988,16,13,19,lossless,CD
John Zorn / George Lewis / Bill Frisell,More News For Lulu,1992,16,13,19,lossless,CD
Ali Farka Touré,Ali Farka Touré - Eight Songs from the Legendary Singer from Mali  [vinyl],1987,16,13,20,lossless,Unknown
Various Artists,The Guitar Collection [HDtracks],2008,16,13,20,lossless,Download
Dire Straits,Brothers In Arms,1985,16,13,20,lossless,Unknown
Dire Straits,Brothers In Arms,1985,16,13,20,lossy,CD
Hexenhaus,The Edge Of Eternity,1990,16,13,20,lossy,Download
David Bowie,The Rise And Fall Of Ziggy Stardust & The Spiders Of Mars (SACD),2003,16,13,20,lossless,Downmix
DIRE STRAITS,BROTHERS IN ARMS,1991,16,13,20,lossless,CD
John Cage,Boris Berman ‎– Sonatas And Interludes For Prepared Piano,1999,16,13,20,lossless,Unknown
dire straits,brothers in arms,1985,16,13,20,lossless,CD
Dire Straits,Brothers In Arms,1985,16,13,20,lossless,CD
John McLaughlin,"""Mediterranean"" Concerto",1990,16,13,20,lossless,Unknown
Thelonious Monk,Brilliant Corners [The Riverside Tenor Sessions],1998,16,13,20,lossless,CD
Triplicated,Appearance,2007,16,13,20,lossless,Unknown
The Necks,Chemist,0,16,13,20,lossy,Unknown
Dire Straits,Brothers In Arms,1985,16,13,20,lossless,CD
Dire Straits,Brothers In Arms,1985,16,13,20,lossless,CD
BBC Symphony Orchestra / Martin Neary,Tavener: Akathist Of Thanksgiving,1994,16,13,20,lossless,CD
Dire Straits,Brothers in Arms,1985,16,13,20,lossless,CD
Jacques Loussier,Brandenburg Concertos,1991,16,13,20,lossless,CD
Dire Straits,Brothers In Arms,1991,16,13,20,lossless,CD
Nick Cave & The Bad Seeds,From her to eternity,1984,16,13,20,lossless,Vinyl
Dire Straits,Brothers In Arms,1985,16,13,20,lossless,CD
Kroumata Percussion Ensemble,"Iannis Xenakis: Pléiades, Psappha",1990,16,13,20,lossless,CD
Don Ross,Huron Street,2001,16,13,20,lossless,Unknown
Masada (John Zorn),2000 : Live In Sevilla,2000,16,13,20,lossless,Unknown
Dire Straits,Brothers In Arms,1985,16,13,20,lossless,CD
Dire Straits,Brothers In Arms,1985,16,13,20,lossless,CD
INXS,INXSive,1988,16,13,20,lossless,CD
BBC Symphony Orchestra / Andrew Davis,Berlioz: Symphonie fantastique,1993,16,13,20,lossless,CD
Robert Ashley,Automatic Writing,1996,16,13,21,lossy,Download
Nu Creative Methods,Nu Jungle Dances,2006,16,13,21,lossless,CD
Jie-Bing Chen with V. M. Bhatt and Bela Fleck,Tabula Rasa (HDtracks 88/24),1996,16,13,21,lossless,Download
Infinity - The Definitive Music And Fidelity Sampler Vol.I,The Definitive Music And Fidelity Sampler Vol.I,1990,16,13,21,lossless,CD
Dire Straits,Brothers in Arms [Bulgarian Bootleg],1995,16,13,21,lossless,CD
Sheffield Lab Sampler ft. Pat Coil,Up Close Volume 8,1991,16,13,21,lossless,Unknown
The 52nd Street Blues Project,Blues & Grass [HDtracks],2008,16,13,22,lossless,Download
Badi Assad,Rhythms,1995,16,13,22,lossless,CD
Various Artists,Best of Chesky Jazz and More Audiophile Tests Vol. 2 HDTracks 44/16,1992,16,13,22,lossless,Unknown
"Ambros, Tauchen, Fälbl",Watzmann Live [Disc 1],1991,16,13,22,lossless,CD
Erich Kunzel & the Cincinnati Pops Orchestra,Ein Straussfest,1985,16,13,22,lossless,Unknown
"Erich Kunzel, Cincinnatti Pops Orchestra",Ein Straussfest CD1,1999,16,13,22,lossless,Unknown
Helge Schneider,Es rappelt im Karton!,1995,16,13,22,lossy,Unknown
Rickie Lee Jones,Flying Cowboys [Audio Fidelity 24K CD],2010,16,13,22,lossless,CD
"Tom Arthurs, Miles Perkin, Yorgos Dimitriadis",Glue,2011,16,13,23,lossless,Download
Kronos Quartet,Black Angels,1990,16,13,24,lossless,Unknown
The Joy,S/T,2003,16,13,24,lossless,Unknown
David Burge; Einar Rötttingen; Joachim Olsson; Peter Kates,George Crumb ‎– Makrokosmos I-IV,2003,16,13,26,lossless,CD
Kool & The Gang,"Celebrate! [France, # 574013]",1980,16,14,16,lossless,Vinyl
Chick Corea,Akoustic Band,1989,16,14,16,lossless,CD
Shelly Manne & His Men,"At The Black Hawk, Vol. 2",1991,16,14,16,lossless,Unknown
Prince,"Let's Pretend We're Married [12"" vinyl]",1983,16,14,16,lossless,Vinyl
Nine Inch Nails,Purest Feeling (Pretty Hate Machine demo),1988,16,14,16,lossless,Unknown
Mitch Ryder,Smart Ass,1982,16,14,16,lossless,Vinyl
Chick Corea Akoustic Band,Chick Corea Akoustic Band,1989,16,14,16,lossless,CD
Luther Vandross,Original Album Classics CD4 [The Night I Fell In Love],2013,16,14,17,lossless,CD
Huib Emmer,Composers' Voice Highlights,1998,16,14,17,lossless,Unknown
Bernard Haitink - Philharmonia Orchestra,Elgar: Symphony No. 2 in E Flat,1984,16,14,17,lossless,CD
Z.Z. Hill,Greatest Hits,1990,16,14,17,lossless,CD
Mal Waldron,Mal Waldron Plays The Blues,1989,16,14,17,lossless,CD
Reinbert de Leeuw,"Early Piano Works, Vol. 1",1980,16,14,17,lossless,CD
Donna Summer,Cats Without Claws,1984,16,14,17,lossless,CD
Lee Oskar,Lee Oskar [vinyl],1976,16,14,17,lossless,Vinyl
"Keith Jarrett, Gary Peacock, Jack DeJohnette",After The Fall [disc 1],2018,16,14,17,lossless,CD
Various,Big Band Classics,1994,16,14,17,lossless,Unknown
Bedřich Smetana,"My Country - Kubelík, Prague 1990 (Blu-spec CD)",2010,16,14,17,lossless,CD
Michael Jackson,Off The Wall [1991 Japanese Press],1991,16,14,17,lossless,CD
44Mind,Gray EP,2011,16,14,17,lossy,Unknown
Spyro Gyra,Stories Without Words (MCA MCAD-42046),1987,16,14,17,lossless,CD
Yellow Magic Orchestra,Yellow Magic Orchestra Ver. U.S.A. (ALME-2222),2006,16,14,17,lossless,CD
Donald Fagen,Kamakiriad,1993,16,14,17,lossless,CD
Bill Stewart,Telepathy,1997,16,14,17,lossy,Unknown
George Duke,Dream On [vinyl],1982,16,14,17,lossless,Vinyl
Nusrat Fateh Ali Khan,Reverence,1990,16,14,17,lossless,CD
Ricardo Gallén,Fernando Sor: Guitar Sonatas [DSD256],2014,16,14,17,lossless,Download
erasure,Who Needs Love Like That (CD Single),1993,16,14,17,lossless,CD
Wolfgang Ambros,Der letzte Tanz,1983,16,14,17,lossless,Unknown
Kim Larsen,Jungle Dreams,1981,16,14,17,lossless,Vinyl
Charles Mingus,Reincarnation of a Love Bird,2010,16,14,17,lossless,CD
Miles Davis,Tutu [vinyl],1986,16,14,17,lossless,Vinyl
Voo Voo,"Muzyka do filmu ""Seszele""",1995,16,14,17,lossless,CD
Michael Jackson,Off The Wall,1991,16,14,17,lossless,CD
Commodores,Heroes [vinyl|,1980,16,14,17,lossless,Vinyl
Papa Winnie,Rootsie & Boopsie,1989,16,14,17,lossless,CD
Monty Python,Another Album,1994,16,14,17,lossless,CD
Cetu Javu,Southern Lands,1990,16,14,17,lossless,CD
Pat Coil,UpClose Volume 16,1993,16,14,17,lossless,CD
Yellow Magic Orchestra,Yellow Magic Orchestra (A&M Mix) (ALCA-5215),1998,16,14,17,lossless,CD
Eric Clapton,Another Ticket,1996,16,14,17,lossless,CD
Yellow Magic Orchestra,Yellow Magic Orchestra (US Mix) (ALCA-287),1992,16,14,17,lossless,CD
Doug MacLeod,Come to Find,1994,16,14,17,lossless,CD
Rickie Lee Jones,The Magazine,1987,16,14,17,lossless,CD
Oscar Peterson Trio,"Live at the Blue Note - The complete recordings - March 16-18, 1990",1990,16,14,17,lossless,Unknown
Rickie Lee Jones,The Magazine [Original Album Series],2009,16,14,17,lossless,CD
